Date,Hour,Interval,Austin,San Antonio,Houston,Panhandle
1/1/20,1,1,12.46,12.46,12.46,-6.08
1/1/20,1,2,14.22,14.22,14.22,-6.24
1/1/20,1,3,14.06,14.06,14.06,-6.25
1/1/20,1,4,14.09,14.09,14.09,-6.25
1/1/20,2,1,13.14,13.14,13.14,-14.09
1/1/20,2,2,13.61,13.61,13.61,-18.99
1/1/20,2,3,13.53,13.53,13.53,-18.99
1/1/20,2,4,12.81,12.81,12.81,-18.99
1/1/20,3,1,12.19,12.19,12.19,-18.99
1/1/20,3,2,11.9,11.9,11.9,-18.99
1/1/20,3,3,11.37,11.37,11.37,-18.99
1/1/20,3,4,10.02,10.02,10.02,-18.99
1/1/20,4,1,10.13,10.13,10.13,-18.99
1/1/20,4,2,9.64,9.64,9.62,-18.99
1/1/20,4,3,9.18,9.18,9.18,-18.99
1/1/20,4,4,8.8,8.8,8.8,-18.99
1/1/20,5,1,7,7,7,-18.99
1/1/20,5,2,8.94,8.94,8.94,-18.99
1/1/20,5,3,9.21,9.21,9.21,-18.99
1/1/20,5,4,9.38,9.38,9.38,-18.99
1/1/20,6,1,9.28,9.28,9.28,-18.99
1/1/20,6,2,10.83,10.82,10.79,-18.99
1/1/20,6,3,10.89,10.88,10.83,-18.99
1/1/20,6,4,9.5,9.48,9.32,-18.99
1/1/20,7,1,10.26,10.24,10.09,-18.99
1/1/20,7,2,10.09,10.07,9.91,-18.99
1/1/20,7,3,10.55,10.54,10.38,-18.99
1/1/20,7,4,10.74,10.75,10.7,-18.99
1/1/20,8,1,11.75,11.75,11.75,-18.99
1/1/20,8,2,10.52,10.49,10.35,-18.99
1/1/20,8,3,10.18,10.14,9.92,-18.99
1/1/20,8,4,11.94,11.89,11.63,-18.99
1/1/20,9,1,12.35,12.3,12.03,-18.99
1/1/20,9,2,12.48,12.44,12.16,-18.99
1/1/20,9,3,12.53,12.49,12.21,-18.99
1/1/20,9,4,12.67,12.62,12.34,-18.99
1/1/20,10,1,13.76,13.71,13.4,-18.99
1/1/20,10,2,14.23,14.16,13.71,-18.99
1/1/20,10,3,14.69,14.61,14.18,-18.99
1/1/20,10,4,14.81,14.75,14.42,-18.99
1/1/20,11,1,14.68,14.63,14.3,-18.03
1/1/20,11,2,14.41,14.36,14.04,-6.54
1/1/20,11,3,15.42,15.34,14.88,-6.25
1/1/20,11,4,15.32,15.26,14.88,-6.25
1/1/20,12,1,15.25,15.17,14.65,-6.25
1/1/20,12,2,15.26,15.17,14.61,-6.25
1/1/20,12,3,15.01,14.92,14.37,-6.25
1/1/20,12,4,15.85,15.76,15.22,-6.09
1/1/20,13,1,16.24,16.18,15.82,-6
1/1/20,13,2,15.45,15.39,15.01,-6
1/1/20,13,3,15.54,15.45,14.88,-6
1/1/20,13,4,15.78,15.74,15.5,-6.24
1/1/20,14,1,17.14,17.08,16.71,-6.25
1/1/20,14,2,17.06,17,16.62,-6.24
1/1/20,14,3,16.58,16.58,16.56,-6.24
1/1/20,14,4,16.39,16.39,16.39,-6.16
1/1/20,15,1,16.42,16.42,16.42,-6.24
1/1/20,15,2,16.34,16.34,16.34,-6.25
1/1/20,15,3,16.07,16.07,16.07,-6.25
1/1/20,15,4,15.64,15.64,15.64,-6.25
1/1/20,16,1,15.73,15.73,15.73,-6.24
1/1/20,16,2,15.71,15.71,15.71,-6.08
1/1/20,16,3,16.03,16.03,16.03,-6
1/1/20,16,4,16.02,16.02,16.02,-5.99
1/1/20,17,1,15.99,15.99,15.99,-5.68
1/1/20,17,2,16.41,16.41,16.41,-5.66
1/1/20,17,3,16.42,16.42,16.42,-5.66
1/1/20,17,4,16.58,16.58,16.58,-2.41
1/1/20,18,1,16.65,16.65,16.65,-1
1/1/20,18,2,16.74,16.74,16.74,-2.56
1/1/20,18,3,17.86,17.86,17.86,-2.35
1/1/20,18,4,18.13,18.13,18.13,-5.31
1/1/20,19,1,17.68,17.6,17.15,-5.34
1/1/20,19,2,16.99,16.95,16.69,-5.99
1/1/20,19,3,17.1,17.04,16.66,-5.99
1/1/20,19,4,16.89,16.83,16.46,-4.11
1/1/20,20,1,16.16,16.14,16.02,1.38
1/1/20,20,2,15.83,15.79,15.54,-1.1
1/1/20,20,3,15.4,15.4,15.4,-5.56
1/1/20,20,4,15.45,15.45,15.45,-5.99
1/1/20,21,1,14.94,14.94,14.94,0.56
1/1/20,21,2,14.99,14.99,14.99,9.74
1/1/20,21,3,15.8,15.8,15.8,15.8
1/1/20,21,4,16.2,16.2,16.2,16.2
1/1/20,22,1,15.76,15.76,15.76,15.76
1/1/20,22,2,15.35,15.35,15.35,15.35
1/1/20,22,3,15.09,15.09,15.09,15.09
1/1/20,22,4,14.54,14.54,14.54,14.54
1/1/20,23,1,15.65,15.65,15.65,15.65
1/1/20,23,2,16.75,16.75,16.75,16.75
1/1/20,23,3,16.43,16.43,16.43,16.43
1/1/20,23,4,15.85,15.85,15.85,15.85
1/1/20,24,1,14.87,14.87,14.87,14.87
1/1/20,24,2,14.78,14.78,14.78,14.78
1/1/20,24,3,14.63,14.63,14.63,14.63
1/1/20,24,4,15.19,15.19,15.19,15.19
1/2/20,1,1,15.35,15.35,15.35,15.35
1/2/20,1,2,15.14,15.14,15.14,15.14
1/2/20,1,3,14.25,14.25,14.25,14.25
1/2/20,1,4,13.99,13.99,13.99,13.99
1/2/20,2,1,13.79,13.79,13.79,13.79
1/2/20,2,2,14.56,14.56,14.56,14.56
1/2/20,2,3,14.5,14.5,14.5,14.5
1/2/20,2,4,14.35,14.35,14.35,14.35
1/2/20,3,1,14.88,14.88,14.88,14.88
1/2/20,3,2,14.19,14.19,14.19,14.19
1/2/20,3,3,14.17,14.17,14.17,14.17
1/2/20,3,4,13.69,13.69,13.69,13.69
1/2/20,4,1,13.31,13.31,13.31,13.31
1/2/20,4,2,13.69,13.69,13.69,13.69
1/2/20,4,3,13.77,13.77,13.77,13.77
1/2/20,4,4,13.94,13.94,13.94,13.94
1/2/20,5,1,14.76,14.76,14.76,14.76
1/2/20,5,2,14.79,14.79,14.79,14.79
1/2/20,5,3,14.66,14.66,14.66,14.66
1/2/20,5,4,14.62,14.62,14.62,14.62
1/2/20,6,1,14.6,14.6,14.6,14.6
1/2/20,6,2,14.31,14.31,14.31,14.31
1/2/20,6,3,14.76,14.76,14.76,14.76
1/2/20,6,4,13.36,13.36,13.36,13.36
1/2/20,7,1,12.86,12.86,12.86,12.86
1/2/20,7,2,13.37,13.37,13.37,13.37
1/2/20,7,3,14.37,14.37,14.37,14.37
1/2/20,7,4,15.27,15.27,15.27,15.27
1/2/20,8,1,15.3,15.3,15.3,15.3
1/2/20,8,2,15.55,15.55,15.55,15.55
1/2/20,8,3,15.98,15.98,15.98,15.98
1/2/20,8,4,16,16,16,16
1/2/20,9,1,15.81,15.81,15.81,15.81
1/2/20,9,2,16.22,16.22,16.22,16.22
1/2/20,9,3,16.08,16.08,16.08,16.08
1/2/20,9,4,16.32,16.32,16.32,16.32
1/2/20,10,1,16.31,16.31,16.31,16.31
1/2/20,10,2,16.74,16.74,16.74,16.74
1/2/20,10,3,16.78,16.78,16.78,16.78
1/2/20,10,4,16.9,16.9,16.9,16.9
1/2/20,11,1,16.68,16.68,16.68,16.68
1/2/20,11,2,16.76,16.76,16.76,16.76
1/2/20,11,3,16.46,16.41,16.51,16.64
1/2/20,11,4,16.42,16.34,16.5,16.71
1/2/20,12,1,16.97,16.95,16.99,17.04
1/2/20,12,2,17.1,17.1,17.1,17.1
1/2/20,12,3,17,17,17,17
1/2/20,12,4,17.35,17.35,17.35,17.35
1/2/20,13,1,17.44,17.44,17.44,17.44
1/2/20,13,2,23.21,23.21,23.21,23.21
1/2/20,13,3,22.12,22.12,22.12,22.12
1/2/20,13,4,19.37,19.37,19.37,19.37
1/2/20,14,1,21.26,21.26,21.26,21.26
1/2/20,14,2,18.41,18.4,18.41,18.44
1/2/20,14,3,17.98,17.98,17.98,17.98
1/2/20,14,4,18.07,18.07,18.07,18.07
1/2/20,15,1,17.62,17.62,17.62,17.62
1/2/20,15,2,17.21,17.21,17.21,17.21
1/2/20,15,3,16.67,16.67,16.67,16.67
1/2/20,15,4,15.93,15.93,15.93,15.93
1/2/20,16,1,15.79,15.79,15.79,15.79
1/2/20,16,2,15.44,15.44,15.44,15.44
1/2/20,16,3,16.09,16.08,16.09,16.12
1/2/20,16,4,16.26,16.25,16.26,16.29
1/2/20,17,1,16.84,16.84,16.84,16.84
1/2/20,17,2,20.2,20.2,20.2,20.2
1/2/20,17,3,19.39,19.39,19.39,19.39
1/2/20,17,4,19.18,19.18,19.18,19.18
1/2/20,18,1,19.43,19.43,19.43,19.43
1/2/20,18,2,21.42,21.42,21.42,21.42
1/2/20,18,3,37.42,37.42,37.42,37.42
1/2/20,18,4,60.6,60.6,60.6,60.6
1/2/20,19,1,21.91,21.91,21.91,21.91
1/2/20,19,2,20.28,20.28,20.28,20.28
1/2/20,19,3,19.86,19.86,19.86,19.86
1/2/20,19,4,19.94,19.94,19.94,19.94
1/2/20,20,1,19.2,19.2,19.2,19.2
1/2/20,20,2,19.26,19.26,19.26,19.26
1/2/20,20,3,19.11,19.12,19.09,19.1
1/2/20,20,4,19.19,19.2,19.16,19.18
1/2/20,21,1,18.75,18.88,18.51,18.68
1/2/20,21,2,20.04,20.63,18.91,19.7
1/2/20,21,3,18.46,18.53,18.31,18.41
1/2/20,21,4,17.98,18.05,17.84,17.94
1/2/20,22,1,17.68,17.83,17.39,17.59
1/2/20,22,2,17.72,17.92,17.35,17.61
1/2/20,22,3,17.43,17.5,17.28,17.38
1/2/20,22,4,17.11,17.11,17.11,17.11
1/2/20,23,1,17.36,17.36,17.36,17.36
1/2/20,23,2,20.1,20.1,20.1,20.1
1/2/20,23,3,20.09,20.09,20.09,20.09
1/2/20,23,4,18.11,18.15,18.05,18.09
1/2/20,24,1,18.07,18.1,18,18.05
1/2/20,24,2,19.48,19.98,18.55,19.2
1/2/20,24,3,19.75,20.9,18.06,18.68
1/2/20,24,4,18.64,19.19,17.93,18.06
1/3/20,1,1,33.95,42.6,19.01,27.71
1/3/20,1,2,21.82,24.23,18.54,19.41
1/3/20,1,3,18.53,18.61,18.38,18.46
1/3/20,1,4,18.22,18.34,17.99,18.15
1/3/20,2,1,20.87,22.9,16.91,19.65
1/3/20,2,2,18.51,18.96,17.63,18.24
1/3/20,2,3,17.8,17.8,17.8,17.8
1/3/20,2,4,17.59,17.59,17.59,17.59
1/3/20,3,1,17.18,17.18,17.18,17.18
1/3/20,3,2,16.64,16.64,16.64,16.64
1/3/20,3,3,15.73,15.73,15.73,15.73
1/3/20,3,4,14.73,14.73,14.73,14.73
1/3/20,4,1,14.89,14.89,14.89,14.89
1/3/20,4,2,15.36,15.36,15.36,15.36
1/3/20,4,3,15.17,15.17,15.17,15.17
1/3/20,4,4,15,15,15,15
1/3/20,5,1,15.04,15.04,15.04,15.04
1/3/20,5,2,14.83,14.83,14.83,14.83
1/3/20,5,3,15.13,15.13,15.13,15.13
1/3/20,5,4,14.61,14.61,14.61,14.61
1/3/20,6,1,15.65,16.62,14.95,16.26
1/3/20,6,2,15.93,17.07,15.09,16.65
1/3/20,6,3,17.78,19.2,16.74,18.67
1/3/20,6,4,16.91,18.35,15.84,17.82
1/3/20,7,1,16.84,18.2,15.84,17.7
1/3/20,7,2,16.97,17.81,16.35,17.5
1/3/20,7,3,16.06,16.06,16.06,16.06
1/3/20,7,4,15.52,16.16,15.05,15.93
