sulfur,paraffin,percentVoid
0.35,0,0
0.35,0,1
0.35,0,2
0.35,0,3
0.35,0,4
0.35,0,5
0.35,0,6
0.35,0,7
0.35,0,8
0.35,0,9
0.35,0,10
0.35,0,11
0.35,0,12
0.35,0,13
0.35,0,14
0.35,0,15
0.35,0,16
0.35,0,17
0.35,0,18
0.35,0,19
0.35,0,20
0.35,0,21
0.35,0,22
0.35,0,23
0.35,0,24
0.35,0,25
0.35,0,26
0.35,0,27
0.35,0,28
0.35,0,29
0.35,0,30
0.35,1,0
0.35,1,1
0.35,1,2
0.35,1,3
0.35,1,4
0.35,1,5
0.35,1,6
0.35,1,7
0.35,1,8
0.35,1,9
0.35,1,10
0.35,1,11
0.35,1,12
0.35,1,13
0.35,1,14
0.35,1,15
0.35,1,16
0.35,1,17
0.35,1,18
0.35,1,19
0.35,1,20
0.35,1,21
0.35,1,22
0.35,1,23
0.35,1,24
0.35,1,25
0.35,1,26
0.35,1,27
0.35,1,28
0.35,1,29
0.35,1,30
0.35,2,0
0.35,2,1
0.35,2,2
0.35,2,3
0.35,2,4
0.35,2,5
0.35,2,6
0.35,2,7
0.35,2,8
0.35,2,9
0.35,2,10
0.35,2,11
0.35,2,12
0.35,2,13
0.35,2,14
0.35,2,15
0.35,2,16
0.35,2,17
0.35,2,18
0.35,2,19
0.35,2,20
0.35,2,21
0.35,2,22
0.35,2,23
0.35,2,24
0.35,2,25
0.35,2,26
0.35,2,27
0.35,2,28
0.35,2,29
0.35,2,30
0.35,3,0
0.35,3,1
0.35,3,2
0.35,3,3
0.35,3,4
0.35,3,5
0.35,3,6
0.35,3,7
0.35,3,8
0.35,3,9
0.35,3,10
0.35,3,11
0.35,3,12
0.35,3,13
0.35,3,14
0.35,3,15
0.35,3,16
0.35,3,17
0.35,3,18
0.35,3,19
0.35,3,20
0.35,3,21
0.35,3,22
0.35,3,23
0.35,3,24
0.35,3,25
0.35,3,26
0.35,3,27
0.35,3,28
0.35,3,29
0.35,3,30
0.35,4,0
0.35,4,1
0.35,4,2
0.35,4,3
0.35,4,4
0.35,4,5
0.35,4,6
0.35,4,7
0.35,4,8
0.35,4,9
0.35,4,10
0.35,4,11
0.35,4,12
0.35,4,13
0.35,4,14
0.35,4,15
0.35,4,16
0.35,4,17
0.35,4,18
0.35,4,19
0.35,4,20
0.35,4,21
0.35,4,22
0.35,4,23
0.35,4,24
0.35,4,25
0.35,4,26
0.35,4,27
0.35,4,28
0.35,4,29
0.35,4,30
0.35,5,0
0.35,5,1
0.35,5,2
0.35,5,3
0.35,5,4
0.35,5,5
0.35,5,6
0.35,5,7
0.35,5,8
0.35,5,9
0.35,5,10
0.35,5,11
0.35,5,12
0.35,5,13
0.35,5,14
0.35,5,15
0.35,5,16
0.35,5,17
0.35,5,18
0.35,5,19
0.35,5,20
0.35,5,21
0.35,5,22
0.35,5,23
0.35,5,24
0.35,5,25
0.35,5,26
0.35,5,27
0.35,5,28
0.35,5,29
0.35,5,30
0.35,6,0
0.35,6,1
0.35,6,2
0.35,6,3
0.35,6,4
0.35,6,5
0.35,6,6
0.35,6,7
0.35,6,8
0.35,6,9
0.35,6,10
0.35,6,11
0.35,6,12
0.35,6,13
0.35,6,14
0.35,6,15
0.35,6,16
0.35,6,17
0.35,6,18
0.35,6,19
0.35,6,20
0.35,6,21
0.35,6,22
0.35,6,23
0.35,6,24
0.35,6,25
0.35,6,26
0.35,6,27
0.35,6,28
0.35,6,29
0.35,6,30
0.35,7,0
0.35,7,1
0.35,7,2
0.35,7,3
0.35,7,4
0.35,7,5
0.35,7,6
0.35,7,7
0.35,7,8
0.35,7,9
0.35,7,10
0.35,7,11
0.35,7,12
0.35,7,13
0.35,7,14
0.35,7,15
0.35,7,16
0.35,7,17
0.35,7,18
0.35,7,19
0.35,7,20
0.35,7,21
0.35,7,22
0.35,7,23
0.35,7,24
0.35,7,25
0.35,7,26
0.35,7,27
0.35,7,28
0.35,7,29
0.35,7,30
0.35,8,0
0.35,8,1
0.35,8,2
0.35,8,3
0.35,8,4
0.35,8,5
0.35,8,6
0.35,8,7
0.35,8,8
0.35,8,9
0.35,8,10
0.35,8,11
0.35,8,12
0.35,8,13
0.35,8,14
0.35,8,15
0.35,8,16
0.35,8,17
0.35,8,18
0.35,8,19
0.35,8,20
0.35,8,21
0.35,8,22
0.35,8,23
0.35,8,24
0.35,8,25
0.35,8,26
0.35,8,27
0.35,8,28
0.35,8,29
0.35,8,30
0.35,9,0
0.35,9,1
0.35,9,2
0.35,9,3
0.35,9,4
0.35,9,5
0.35,9,6
0.35,9,7
0.35,9,8
0.35,9,9
0.35,9,10
0.35,9,11
0.35,9,12
0.35,9,13
0.35,9,14
0.35,9,15
0.35,9,16
0.35,9,17
0.35,9,18
0.35,9,19
0.35,9,20
0.35,9,21
0.35,9,22
0.35,9,23
0.35,9,24
0.35,9,25
0.35,9,26
0.35,9,27
0.35,9,28
0.35,9,29
